City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mount Pleasant,US,81.09,few clouds,32.7941,-79.8626,Best Western Patriots Point
3,Murgud,IN,77.79,clear sky,16.4,74.2,Bharmal residency
5,Atuona,PF,79.0,scattered clouds,-9.8,-139.0333,Villa Enata
6,Santa Cruz,BO,78.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
8,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Meulaboh,ID,79.0,overcast clouds,4.1363,96.1285,Kost Pria
15,Rikitea,PF,75.85,light rain,-23.1203,-134.9692,People ThankYou
18,Cap-Haitien,HT,77.81,overcast clouds,19.7578,-72.2042,Habitation Jouissant
19,Vaini,TO,75.36,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
20,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
23,Maragogi,BR,81.39,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
24,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
25,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
28,Hithadhoo,MV,85.55,broken clouds,-0.6,73.0833,Scoop Guest House
32,Itarema,BR,82.27,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
42,Kapaa,US,76.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
46,San Patricio,US,84.29,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
48,Butaritari,KI,80.64,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
54,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
58,Touros,BR,84.58,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
61,Chino,US,82.33,clear sky,34.0122,-117.6889,"Motel 6 Chino, CA - Los Angeles Area"
68,Victoria,HK,78.19,overcast clouds,22.2855,114.1577,Mini Hotel Central
71,Singkang,MY,76.21,scattered clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
77,Padang,ID,78.85,light rain,-0.9492,100.3543,Mercure Padang
79,Tautira,PF,79.59,light rain,-17.7333,-149.15,Pension Oaoa
82,Mahebourg,MU,75.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
86,Bengkulu,ID,77.07,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
89,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
90,Abu Kamal,SY,80.56,broken clouds,34.4506,40.9171,محطة التلفاز
91,Dingle,PH,77.45,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
96,Teknaf,BD,80.42,broken clouds,20.8624,92.3058,Forestry Guesthouse
97,Auki,SB,77.34,overcast clouds,-8.7676,160.7034,Auki Motel
99,Ternate,ID,81.25,light rain,0.8,127.4,Sahid Bela Ternate Hotel
117,Sao Joao Da Barra,BR,79.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
118,Asyut,EG,86.49,scattered clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
122,Cartagena,CO,89.22,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
124,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
126,Kifri,IQ,79.99,clear sky,34.6959,44.9661,میزان کفری
131,Pasni,PK,86.83,scattered clouds,25.2631,63.471,Kashmiri Hotal
133,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
134,El Alto,PE,76.66,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
135,Kavieng,PG,81.77,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
136,Cabo San Lucas,MX,85.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
139,Soyo,AO,79.21,overcast clouds,-6.1349,12.3689,Hotel Mpampa
142,Lorengau,PG,80.37,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
145,Isangel,VU,77.54,overcast clouds,-19.55,169.2667,Tanna Lodge
147,Kavali,IN,83.32,few clouds,14.9167,79.9833,Hotel Mourya Paradise
154,Ahuimanu,US,75.36,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
155,Libreville,GA,81.41,overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
156,Chaman,PK,79.5,clear sky,30.9236,66.4512,Niamat parda Center chaman
157,Ahvaz,IR,85.95,clear sky,31.3203,48.6693,tashrifat tourism travel agency
158,Mitsamiouli,KM,80.51,light rain,-11.3847,43.2844,Foyer ADM
160,Biak,ID,76.42,overcast clouds,-0.9131,122.8766,Penginapan Kim
164,Carnarvon,AU,75.69,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
167,Srisailam,IN,85.64,scattered clouds,16.0833,78.8667,Vasavi Satram
172,Santa Rosa,PH,83.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
173,Bambanglipuro,ID,77.45,overcast clouds,-7.95,110.2833,Puri Brata
176,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
181,Tual,ID,84.51,broken clouds,-5.6667,132.75,Grand Vilia Hotel
183,Le Vauclin,MQ,89.65,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
185,Copperas Cove,US,85.3,clear sky,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
188,Vila Velha,BR,80.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
189,Nicoya,CR,89.89,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
190,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
194,Pochutla,MX,88.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
195,Morondava,MG,76.59,clear sky,-20.2833,44.2833,La Case Bambou
198,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
206,Saint George,US,75.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
207,Paka,MY,78.78,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
220,Ko Samui,TH,84.11,broken clouds,9.5357,99.9357,The Passage
221,Spring Hill,US,86.99,broken clouds,28.4769,-82.5255,Room of The world By traveline Plus
222,Buala,SB,79.23,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
229,Mabaruma,GY,86.68,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
230,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
231,Bobon,PH,76.87,overcast clouds,12.5246,124.5636,Fisherville
235,Kailua,US,75.65,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
236,Suba,PH,83.79,overcast clouds,10.8438,121.0102,Jarnchi Pension House
