City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bridgend,GB,51.5058,-3.5772,57.51,64,100,7.0,overcast clouds
1,Mount Pleasant,US,32.7941,-79.8626,81.09,53,20,10.36,few clouds
2,Nishihara,JP,26.1842,127.7558,70.88,73,100,6.91,overcast clouds
3,Murgud,IN,16.4,74.2,77.79,69,5,6.02,clear sky
4,Barrow,US,71.2906,-156.7887,21.97,90,98,0.92,overcast clouds
5,Atuona,PF,-9.8,-139.0333,79.0,76,36,14.38,scattered clouds
6,Santa Cruz,BO,-17.8,-63.1667,78.85,61,20,4.61,few clouds
7,Cape Town,ZA,-33.9258,18.4232,62.28,74,0,6.91,clear sky
8,Puerto Ayora,EC,-0.7393,-90.3518,80.56,79,37,9.69,scattered clouds
9,Chapais,CA,49.7834,-74.8492,44.38,55,3,7.65,clear sky
10,Khatanga,RU,71.9667,102.5,9.28,96,72,8.21,broken clouds
11,Norman Wells,CA,65.282,-126.8329,39.24,60,0,10.36,clear sky
12,Jamestown,US,42.097,-79.2353,64.53,27,0,7.0,clear sky
13,Chara,RU,56.9064,118.2631,32.92,89,100,4.05,light snow
14,Meulaboh,ID,4.1363,96.1285,79.0,86,100,2.04,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,75.85,76,58,14.32,light rain
16,Mataura,NZ,-46.1927,168.8643,63.48,85,90,4.07,light rain
17,Canby,US,45.2629,-122.6926,56.84,81,100,9.22,overcast clouds
18,Cap-Haitien,HT,19.7578,-72.2042,77.81,68,91,11.36,overcast clouds
19,Vaini,TO,-21.2,-175.2,75.36,100,100,6.91,light intensity shower rain
20,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,11.5,scattered clouds
21,Mar Del Plata,AR,-38.0023,-57.5575,55.87,50,0,9.22,clear sky
22,Nome,US,64.5011,-165.4064,42.17,67,100,9.35,overcast clouds
23,Maragogi,BR,-9.0122,-35.2225,81.39,69,99,9.46,overcast clouds
24,Grand Gaube,MU,-20.0064,57.6608,77.4,79,44,16.78,scattered clouds
25,Saint-Pierre,RE,-21.3393,55.4781,78.48,81,100,4.61,overcast clouds
26,Busselton,AU,-33.65,115.3333,55.58,84,0,4.41,clear sky
27,Maltahohe,NA,-24.8333,16.9833,63.97,21,0,13.58,clear sky
