City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gotsu,JP,2022-04-26 19:23:07,35.0,132.2167,63.9,99,100,8.01
1,Muros,ES,2022-04-26 19:23:07,42.7762,-9.0603,58.84,85,92,8.25
2,El Sauzal,MX,2022-04-26 19:23:08,31.9,-116.6833,64.42,80,100,7.65
3,Bonavista,CA,2022-04-26 19:23:09,48.6499,-53.1147,36.23,88,41,7.63
4,Ushuaia,AR,2022-04-26 19:23:09,-54.8,-68.3,40.62,91,100,3.74
5,Rikitea,PF,2022-04-26 19:23:10,-23.1203,-134.9692,78.24,75,100,22.26
6,Vostok,RU,2022-04-26 19:23:11,46.4856,135.8833,35.83,88,100,6.31
7,Busselton,AU,2022-04-26 19:23:11,-33.65,115.3333,56.64,87,87,1.5
8,West Bay,KY,2022-04-26 19:20:17,19.3667,-81.4167,83.07,80,40,10.36
9,Qaanaaq,GL,2022-04-26 19:20:23,77.484,-69.3632,17.01,75,21,3.31
10,Sao Filipe,CV,2022-04-26 19:21:40,14.8961,-24.4956,75.81,69,20,14.14
11,Punta Arenas,CL,2022-04-26 19:23:14,-53.15,-70.9167,42.91,61,75,9.22
12,Lokosovo,RU,2022-04-26 19:23:14,61.1333,74.8167,27.32,97,36,3.96
13,Hermanus,ZA,2022-04-26 19:23:15,-34.4187,19.2345,58.28,75,0,8.32
14,Marzuq,YE,2022-04-26 19:23:15,14.4,46.4667,76.06,61,93,4.25
15,Klyuchi,RU,2022-04-26 19:23:16,52.2667,79.1667,48.74,75,83,1.99
16,Presidencia Roque Saenz Pena,AR,2022-04-26 19:23:00,-26.7852,-60.4388,97.39,36,25,13.78
17,Jamestown,US,2022-04-26 19:19:21,42.097,-79.2353,46.06,56,100,13.8
18,Aleksandrovsk-Sakhalinskiy,RU,2022-04-26 19:23:18,50.8975,142.1561,29.75,94,100,7.14
19,Fortuna,US,2022-04-26 19:19:04,40.5982,-124.1573,58.93,58,40,11.5
20,New Norfolk,AU,2022-04-26 19:23:19,-42.7826,147.0587,48.7,88,100,1.9
21,Hilo,US,2022-04-26 19:19:40,19.7297,-155.09,77.29,90,75,5.75
22,Mayo,US,2022-04-26 19:23:20,38.8876,-76.5119,68.4,77,100,5.01
23,Cidreira,BR,2022-04-26 19:23:21,-30.1811,-50.2056,73.38,82,17,12.44
24,Aripuana,BR,2022-04-26 19:23:22,-9.1667,-60.6333,91.72,45,57,4.5
25,Port Alfred,ZA,2022-04-26 19:23:22,-33.5906,26.891,58.17,91,1,4.0
26,Chauk,MM,2022-04-26 19:23:23,20.8833,94.8167,88.2,53,0,7.94
27,Georgetown,MY,2022-04-26 19:23:23,5.4112,100.3354,81.95,93,40,8.05
28,Tuktoyaktuk,CA,2022-04-26 19:23:24,69.4541,-133.0374,14.0,85,100,8.05
29,Severo-Kurilsk,RU,2022-04-26 19:23:25,50.6789,156.125,29.37,84,61,10.04
30,Puerto Ayora,EC,2022-04-26 19:23:25,-0.7393,-90.3518,78.76,75,75,7.99
31,Murray Bridge,AU,2022-04-26 19:23:26,-35.1167,139.2667,61.12,88,100,8.88
32,Salalah,OM,2022-04-26 19:22:59,17.0151,54.0924,84.29,70,20,4.61
